text,sentiment
"Overall, I was really disappointed with this course, wouldn't buy again.",negative
"Honestly, Everything felt cheap and rushed, deeply disappointing given the price.",negative
"In my opinion, Awful experience, the game didn't work as advertised at all.",negative
"In my opinion, Fell short in every way imaginable, wouldn't wish this on anyone.",negative
"Overall, Average at best, wouldn't go out of my way to try it again soon.",neutral
"The show works as described, no complaints but no praise either.",neutral
"Overall, Somewhere in the middle for me, has its ups and downs like most things.",neutral
"I'm thrilled with how this turned out, couldn't ask for more honestly.",positive
"Overall, Completely underwhelmed, the whole thing felt rushed and cheaply put together.",negative
"Completely underwhelmed, the whole thing felt rushed and cheaply put together.",negative
"Overall, What a fantastic restaurant, it just works and works well.",positive
"Overall, Somewhere in the middle for me, has its ups and downs like most things.",neutral
"In my opinion, Completely underwhelmed, the whole thing felt rushed and cheaply put together.",negative
"Overall, Broke down almost right away and nobody seemed to care about fixing it.",negative
"Overall, Somewhere in the middle for me, has its ups and downs like most things.",neutral
"Honestly, It's fine for casual use, though I wouldn't call it exceptional by any means.",neutral
"In my opinion, This vacation was fantastic from start to finish.",positive
"In my opinion, This phone fell apart within a week, total waste of money.",negative
"Honestly, Left feeling annoyed and cheated, definitely steering clear from now on.",negative
"In my opinion, Awful experience, the phone didn't work as advertised at all.",negative
"In my opinion, This was a joy to use from the very first minute, highly recommend.",positive
"To be fair, Best purchase I've made in ages, I use it every single day now.",positive
"To be fair, Terrible game, I regret ever purchasing it.",negative
"To be fair, The show broke almost immediately, very frustrating.",negative
"To be fair, Everything went wrong from the start, honestly regret the whole thing.",negative
"To be fair, Honestly one of the best restaurants I've come across in a long time.",positive
"To be fair, Would not recommend this service to anyone, complete letdown.",negative
"In my opinion, Would not recommend this show to anyone, complete letdown.",negative
"To be fair, Honestly one of the best phones I've come across in a long time.",positive
"I want my money back, this was a total disaster from beginning to end.",negative
"In my opinion, It does the job, though I probably wouldn't go out of my way for it again.",neutral
"Overall, The course arrived on time, packaging was standard.",neutral
"Overall, Left feeling annoyed and cheated, definitely steering clear from now on.",negative
