movie_id,title,genres,description,year
1,Golden Empire (1986),Comedy|Musical,"When everything falls apart, a hero must rely on courage in this comedy story.",1986
2,Forgotten Legacy (1994),Action|Musical|Adventure,"When everything falls apart, a hero must rely on courage in this action story.",1994
3,Silver Echo (2025),Horror,"When everything falls apart, a hero must rely on courage in this horror story.",2025
4,Forgotten Symphony (1980),Fantasy|Mystery,A fantasy mystery that blends heart-pounding moments with deep emotion.,1980
5,Hidden Symphony (2001),Crime|Animation,"When everything falls apart, a hero must rely on courage in this crime story.",2001
6,Golden Legacy (1996),Adventure|Documentary|War,"A documentary that explores love, loss and redemption through a adventure lens.",1996
7,Silent Rebellion (1985),Musical,"In a world on the edge, an unlikely alliance sparks a musical adventure.",1985
8,Forgotten Star (1982),Mystery|Comedy,A gripping tale of mystery and comedy set against an unforgettable backdrop.,1982
9,Crimson Star (1986),War,"When everything falls apart, a hero must rely on courage in this war story.",1986
10,Secret War (2003),Romance|War|Documentary,"When everything falls apart, a hero must rely on courage in this romance story.",2003
11,Midnight City (2018),Sci-Fi|Romance,A gripping tale of sci-fi and romance set against an unforgettable backdrop.,2018
12,Hidden Labyrinth (1997),Animation|Fantasy,"In a world on the edge, an unlikely alliance sparks a animation adventure.",1997
13,Forgotten Dream (1994),War|Thriller,A gripping tale of war and thriller set against an unforgettable backdrop.,1994
14,Silent Garden (2025),Crime|Adventure|Comedy,"A adventure that explores love, loss and redemption through a crime lens.",2025
15,Frozen City (1996),Drama|Romance|Fantasy,"When everything falls apart, a hero must rely on courage in this drama story.",1996
16,Last Dream (2017),Sci-Fi|Mystery,"In a world on the edge, an unlikely alliance sparks a sci-fi adventure.",2017
17,Secret River (1985),Animation|Horror,"In a world on the edge, an unlikely alliance sparks a animation adventure.",1985
18,Silent Journey (2018),Romance|Animation,"In a world on the edge, an unlikely alliance sparks a romance adventure.",2018
19,Broken Prophecy (2015),Mystery|Fantasy|Horror,A mystery fantasy that blends heart-pounding moments with deep emotion.,2015
20,Shadow Journey (1987),Thriller|Romance,A thriller romance that blends heart-pounding moments with deep emotion.,1987
21,Rising Symphony (2012),Fantasy|Action,A fantasy action that blends heart-pounding moments with deep emotion.,2012
22,Hidden Mirror (2020),War,A war war that blends heart-pounding moments with deep emotion.,2020
23,Eternal Kingdom (2013),Thriller|Animation,"A animation that explores love, loss and redemption through a thriller lens.",2013
24,Shadow Echo (2003),Fantasy|Action,A gripping tale of fantasy and action set against an unforgettable backdrop.,2003
25,Rising Dream (1985),Comedy,"A comedy that explores love, loss and redemption through a comedy lens.",1985
26,Broken Voyage (1988),Thriller,"A thriller that explores love, loss and redemption through a thriller lens.",1988
27,Last Voyage (2007),Crime|Horror,"A horror that explores love, loss and redemption through a crime lens.",2007
28,Eternal Labyrinth (2022),Sci-Fi|Crime,"In a world on the edge, an unlikely alliance sparks a sci-fi adventure.",2022
29,Midnight Rebellion (2001),Adventure|Comedy|War,A gripping tale of adventure and comedy set against an unforgettable backdrop.,2001
